full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,81300,81300,6750,337,337,35,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,97976,97976,12797,3712,3712,463,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,35909,35909,5744,638,638,80,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30201,30201,2327,55,55,5,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,30259,30259,2101,444,444,48,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23376,23376,2240,50,50,7,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,20533,20533,1780,550,550,43,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6452,6452,1573,18,18,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,14768,14768,1645,109,109,15,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9312,9312,1195,7,7,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8094,8094,583,27,27,3,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6328,6328,870,48,48,7,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,6535,6535,446,50,50,3,https://github.com/ykdojo/claude-code-tips
OneRedOak/claude-code-workflows,3731,3731,549,4,4,1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5566,5566,486,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,730,730,1326,15,15,25,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3277,3277,430,3,3,2,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3374,3374,582,16,16,2,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3695,3695,341,9,9,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,197,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2227,2227,369,7,7,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,7075,7075,343,13,13,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,100013,100013,10898,720,720,115,https://github.com/anthropics/skills
qwibitai/nanoclaw,24901,24901,7909,155,155,289,https://github.com/qwibitai/nanoclaw
fuergaosi233/claude-code-proxy,2211,2211,315,7,7,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,3943,3943,328,24,24,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2205,2205,287,22,22,1,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2513,2513,263,5,5,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,621,621,589,1,1,-1,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,19119,19119,3105,230,230,45,https://github.com/router-for-me/CLIProxyAPI
ding113/claude-code-hub,2030,2030,237,15,15,1,https://github.com/ding113/claude-code-hub
edmund-io/edmunds-claude-code,1348,1348,275,3,3,0,https://github.com/edmund-io/edmunds-claude-code
FlorianBruniaux/claude-code-ultimate-guide,2102,2102,323,41,41,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
https-deeplearning-ai/sc-claude-code-files,458,458,624,2,2,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,31994,31994,3487,78,78,4,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3564,3564,249,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
Donchitos/Claude-Code-Game-Studios,2194,2194,281,1142,1142,150,https://github.com/Donchitos/Claude-Code-Game-Studios
snarktank/ralph,13496,13496,1408,57,57,10,https://github.com/snarktank/ralph
sickn33/antigravity-awesome-skills,26603,26603,4532,206,206,29,https://github.com/sickn33/antigravity-awesome-skills
EveryInc/compound-engineering-plugin,10790,10790,861,35,35,5,https://github.com/EveryInc/compound-engineering-plugin
eyaltoledano/claude-task-master,26063,26063,2453,22,22,2,https://github.com/eyaltoledano/claude-task-master
feiskyer/claude-code-settings,1348,1348,200,4,4,0,https://github.com/feiskyer/claude-code-settings
zhukunpenglinyutong/idea-claude-code-gui,2076,2076,233,13,13,3,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
siteboon/claudecodeui,8782,8782,1119,38,38,6,https://github.com/siteboon/claudecodeui
obra/superpowers,105147,105147,8442,1825,1825,142,https://github.com/obra/superpowers
sugyan/claude-code-webui,976,976,225,1,1,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2095,2095,209,2,2,1,https://github.com/centminmod/my-claude-code-setup
carlvellotti/claude-code-pm-course,1654,1654,249,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
lst97/claude-code-sub-agents,1486,1486,235,2,2,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,869,869,422,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,1754,1754,158,17,17,5,https://github.com/bfly123/claude_code_bridge
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
anthropics/claude-plugins-official,14113,14113,1437,168,168,39,https://github.com/anthropics/claude-plugins-official
darcyegb/ClaudeCodeAgents,611,611,53,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,31779,31779,1914,356,356,23,https://github.com/farion1231/cc-switch
wanshuiyin/Auto-claude-code-research-in-sleep,3162,3162,266,186,186,14,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
rizethereum/claude-code-requirements-builder,1759,1759,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
Njengah/claude-code-cheat-sheet,1463,1463,187,3,3,1,https://github.com/Njengah/claude-code-cheat-sheet
trailofbits/claude-code-config,1650,1650,127,7,7,1,https://github.com/trailofbits/claude-code-config
catlog22/Claude-Code-Workflow,1548,1548,127,10,10,1,https://github.com/catlog22/Claude-Code-Workflow
steipete/claude-code-mcp,1192,1192,145,2,2,1,https://github.com/steipete/claude-code-mcp
andrepimenta/claude-code-chat,1007,1007,156,2,2,1,https://github.com/andrepimenta/claude-code-chat
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2225,2225,375,24,24,8,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
simonw/claude-code-transcripts,1157,1157,134,4,4,0,https://github.com/simonw/claude-code-transcripts
disler/claude-code-hooks-multi-agent-observability,1289,1289,356,5,5,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Alishahryar1/free-claude-code,1087,1087,132,12,12,3,https://github.com/Alishahryar1/free-claude-code
jeremylongshore/claude-code-plugins-plus-skills,1689,1689,212,11,11,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
JessyTsui/Claude-Code-Remote,1184,1184,128,10,10,3,https://github.com/JessyTsui/Claude-Code-Remote
alirezarezvani/claude-skills,6383,6383,754,193,193,26,https://github.com/alirezarezvani/claude-skills
slopus/happy,15962,15962,1258,60,60,6,https://github.com/slopus/happy
0xfurai/claude-code-subagents,788,788,143,4,4,-1,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,992,992,126,2,2,0,https://github.com/jarrodwatts/claude-code-config
rohitg00/awesome-claude-code-toolkit,877,877,183,5,5,4,https://github.com/rohitg00/awesome-claude-code-toolkit
pchalasani/claude-code-tools,1602,1602,103,4,4,2,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1330,1330,152,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
alirezarezvani/claude-code-tresor,635,635,143,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
winfunc/opcode,21049,21049,1621,10,10,2,https://github.com/winfunc/opcode
d-kimuson/claude-code-viewer,990,990,117,2,2,0,https://github.com/d-kimuson/claude-code-viewer
revfactory/claude-code-mastering,762,762,124,0,0,0,https://github.com/revfactory/claude-code-mastering
cixingguangming55555/wechat-bot,2532,2532,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
wasabeef/claude-code-cookbook,1045,1045,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
anthropics/claude-agent-sdk-demos,1796,1796,276,11,11,3,https://github.com/anthropics/claude-agent-sdk-demos
ComposioHQ/awesome-claude-skills,46928,46928,4807,254,254,46,https://github.com/ComposioHQ/awesome-claude-skills
Yeachan-Heo/oh-my-claudecode,10936,10936,751,114,114,8,https://github.com/Yeachan-Heo/oh-my-claudecode
code-yeongyu/oh-my-openagent,42422,42422,3155,250,250,15,https://github.com/code-yeongyu/oh-my-openagent
github/spec-kit,80637,80637,6846,1196,1196,121,https://github.com/github/spec-kit
daymade/claude-code-skills,705,705,111,6,6,4,https://github.com/daymade/claude-code-skills
timothywarner-org/claude-code,203,203,29,1,1,0,https://github.com/timothywarner-org/claude-code
numman-ali/openskills,9171,9171,586,18,18,1,https://github.com/numman-ali/openskills
ericbuess/claude-code-docs,750,750,105,4,4,0,https://github.com/ericbuess/claude-code-docs
severity1/claude-code-prompt-improver,1301,1301,112,2,2,2,https://github.com/severity1/claude-code-prompt-improver
ccplugins/awesome-claude-code-plugins,643,643,146,2,2,0,https://github.com/ccplugins/awesome-claude-code-plugins
anomalyco/opencode,128051,128051,13539,661,661,76,https://github.com/anomalyco/opencode
disler/pi-vs-claude-code,528,528,155,5,5,2,https://github.com/disler/pi-vs-claude-code
MadAppGang/claude-code,247,247,25,-1,-1,0,https://github.com/MadAppGang/claude-code
bytedance/deer-flow,35245,35245,4241,0,0,0,https://github.com/bytedance/deer-flow
anthropics/claude-agent-sdk-python,5662,5662,759,14,14,2,https://github.com/anthropics/claude-agent-sdk-python
lyconear/Claude-Code,4,4,149,0,0,0,https://github.com/lyconear/Claude-Code
kepano/obsidian-skills,15795,15795,912,0,0,0,https://github.com/kepano/obsidian-skills
greggh/claude-code.nvim,1943,1943,62,1,1,0,https://github.com/greggh/claude-code.nvim
